Question,Correct Answer,Answer Given,Category,Result
"When working on a scaffold what safety measure is essential?","option2","option4","height_questions","Wrong"
"What is the risk of engaging in horseplay at the workplace?","option2","option3","unsafe_acts_questions","Wrong"
"Which of the following can help reduce the risk of injury when lifting heavy items","option2","option3","handling_questions","Wrong"
"Why is using a mobile phone while walking through the office considered unsafe?","option2","option3","unsafe_acts_questions","Wrong"
"How can Personal Protective Equipment (PPE) help reduce workplace hazards?","option2","option2","perception_questions","Correct"
"What is a Key Safety Feature of a ladder when working at height?","option1","option3","height_questions","Wrong"
"What is one of the most important considerations when lifting a heavy object","option3","option3","handling_questions","Correct"
"What should you always do before using scaffolding?","option1","option3","height_questions","Wrong"
"What is considered an unsafe act when using machinery?","option1","option3","unsafe_acts_questions","Wrong"
"What is a Key Benefit of using a lifting aid like a trolley","option1","option3","handling_questions","Wrong"
"Which of the following is a hazard when working at height?","option2","option3","height_questions","Wrong"
"Why should you be cautious about clicking on pop-up ads even if they appear on legitimate websites?","option1","option3","cyber_questions","Wrong"
"Which of the following can increase the risk of accidents in the workplace?","option2","option3","perception_questions","Wrong"
"What is the risk of using the same password for multiple accounts?","option1","option3","cyber_questions","Wrong"
"What should you do before lifting a heavy load","option1","option3","handling_questions","Wrong"
"What is considered unsafe when working with hazardous chemicals?","option2","option3","unsafe_acts_questions","Wrong"
"What should you do if you receive a suspicious email asking for sensitive information?","option4","option3","cyber_questions","Wrong"
"Why is it unsafe to block fire exits with office furniture or equipment?","option2","option3","unsafe_acts_questions","Wrong"
"Why is it risky to use the ""Remember Me"" feature for your work login on public or shared computers?","option2","option3","cyber_questions","Wrong"
"How can poor ergonomics affect your health in the workplace?","option2","option4","perception_questions","Wrong"
"What is the safest way to lift a heavy object","option2","option3","handling_questions","Wrong"
"What should you do if the load is too heavy to lift alone","option2","option3","handling_questions","Wrong"
"What is the best way to identify potential hazards in your workplace?","option2","option3","perception_questions","Wrong"
"What is the potential risk of sharing your work login credentials with a colleague for convenience?","option2","option3","cyber_questions","Wrong"
"Which of the following is true regarding lifting heavy loads","option2","option2","handling_questions","Correct"
"What is the risk of taking shortcuts at work?","option2","option3","perception_questions","Wrong"
"What should you do if you observe a safety hazard that could harm others?","option2","option3","perception_questions","Wrong"
"What is the consequence of working without proper lighting?","option4","option3","unsafe_acts_questions","Wrong"
"When lifting how should the load be positioned","option2","option3","handling_questions","Wrong"
"What is the minimum requirement for fall protection when working at height above 6 feet?","option2","option3","height_questions","Wrong"
